Category: All categories

Week,marriage: (United States)
2012-11-18,20
2012-11-25,23
2012-12-02,25
2012-12-09,23
2012-12-16,19
2012-12-23,20
2012-12-30,23
2013-01-06,22
2013-01-13,22
2013-01-20,21
2013-01-27,22
2013-02-03,23
2013-02-10,24
2013-02-17,22
2013-02-24,23
2013-03-03,23
2013-03-10,24
2013-03-17,25
2013-03-24,78
2013-03-31,32
2013-04-07,28
2013-04-14,25
2013-04-21,27
2013-04-28,26
2013-05-05,28
2013-05-12,29
2013-05-19,24
2013-05-26,25
2013-06-02,24
2013-06-09,23
2013-06-16,24
2013-06-23,62
2013-06-30,29
2013-07-07,25
2013-07-14,24
2013-07-21,25
2013-07-28,24
2013-08-04,23
2013-08-11,23
2013-08-18,23
2013-08-25,23
2013-09-01,22
2013-09-08,23
2013-09-15,23
2013-09-22,23
2013-09-29,23
2013-10-06,22
2013-10-13,23
2013-10-20,25
2013-10-27,23
2013-11-03,29
2013-11-10,25
2013-11-17,24
2013-11-24,19
2013-12-01,21
2013-12-08,21
2013-12-15,23
2013-12-22,22
2013-12-29,23
2014-01-05,24
2014-01-12,25
2014-01-19,23
2014-01-26,24
2014-02-02,23
2014-02-09,25
2014-02-16,24
2014-02-23,26
2014-03-02,23
2014-03-09,22
2014-03-16,23
2014-03-23,24
2014-03-30,23
2014-04-06,23
2014-04-13,22
2014-04-20,24
2014-04-27,24
2014-05-04,25
2014-05-11,26
2014-05-18,29
2014-05-25,25
2014-06-01,25
2014-06-08,24
2014-06-15,24
2014-06-22,26
2014-06-29,24
2014-07-06,25
2014-07-13,25
2014-07-20,24
2014-07-27,25
2014-08-03,24
2014-08-10,23
2014-08-17,24
2014-08-24,22
2014-08-31,23
2014-09-07,22
2014-09-14,22
2014-09-21,22
2014-09-28,23
2014-10-05,36
2014-10-12,29
2014-10-19,25
2014-10-26,24
2014-11-02,26
2014-11-09,24
2014-11-16,24
2014-11-23,19
2014-11-30,22
2014-12-07,21
2014-12-14,20
2014-12-21,18
2014-12-28,23
2015-01-04,26
2015-01-11,24
2015-01-18,24
2015-01-25,23
2015-02-01,23
2015-02-08,27
2015-02-15,24
2015-02-22,23
2015-03-01,23
2015-03-08,23
2015-03-15,24
2015-03-22,23
2015-03-29,24
2015-04-05,23
2015-04-12,23
2015-04-19,25
2015-04-26,31
2015-05-03,24
2015-05-10,23
2015-05-17,27
2015-05-24,27
2015-05-31,25
2015-06-07,25
2015-06-14,25
2015-06-21,100
2015-06-28,63
2015-07-05,31
2015-07-12,26
2015-07-19,25
2015-07-26,23
2015-08-02,24
2015-08-09,23
2015-08-16,23
2015-08-23,22
2015-08-30,28
2015-09-06,27
2015-09-13,23
2015-09-20,22
2015-09-27,22
2015-10-04,22
2015-10-11,21
2015-10-18,21
2015-10-25,20
2015-11-01,21
2015-11-08,20
2015-11-15,20
2015-11-22,17
2015-11-29,20
2015-12-06,20
2015-12-13,18
2015-12-20,17
2015-12-27,20
2016-01-03,21
2016-01-10,20
2016-01-17,21
2016-01-24,21
2016-01-31,21
2016-02-07,21
2016-02-14,22
2016-02-21,22
2016-02-28,21
2016-03-06,21
2016-03-13,20
2016-03-20,20
2016-03-27,21
2016-04-03,21
2016-04-10,21
2016-04-17,21
2016-04-24,21
2016-05-01,20
2016-05-08,21
2016-05-15,21
2016-05-22,20
2016-05-29,21
2016-06-05,21
2016-06-12,20
2016-06-19,20
2016-06-26,21
2016-07-03,20
2016-07-10,20
2016-07-17,20
2016-07-24,21
2016-07-31,20
2016-08-07,19
2016-08-14,19
2016-08-21,18
2016-08-28,19
2016-09-04,19
2016-09-11,19
2016-09-18,20
2016-09-25,19
2016-10-02,19
2016-10-09,19
2016-10-16,19
2016-10-23,19
2016-10-30,19
2016-11-06,25
2016-11-13,21
2016-11-20,17
2016-11-27,19
2016-12-04,19
2016-12-11,18
2016-12-18,16
2016-12-25,18
2017-01-01,19
2017-01-08,19
2017-01-15,20
2017-01-22,20
2017-01-29,20
2017-02-05,20
2017-02-12,20
2017-02-19,20
2017-02-26,19
2017-03-05,20
2017-03-12,19
2017-03-19,19
2017-03-26,19
2017-04-02,19
2017-04-09,19
2017-04-16,19
2017-04-23,20
2017-04-30,20
2017-05-07,19
2017-05-14,19
2017-05-21,20
2017-05-28,19
2017-06-04,19
2017-06-11,19
2017-06-18,20
2017-06-25,21
2017-07-02,20
2017-07-09,20
2017-07-16,20
2017-07-23,19
2017-07-30,19
2017-08-06,19
2017-08-13,19
2017-08-20,17
2017-08-27,17
2017-09-03,17
2017-09-10,18
2017-09-17,18
2017-09-24,18
2017-10-01,18
2017-10-08,19
2017-10-15,19
2017-10-22,19
2017-10-29,19
2017-11-05,19
2017-11-12,36
